#SampleID	Target	Project
C_16S_4_P420_R3_SI_soil_S187	16S_515_926	LRBM9
C_16S_4_P428_R1_SD_soil_S134	16S_515_926	LRBM9
C_16S_4_P428_R2_SD_soil_S146	16S_515_926	LRBM9
C_16S_4_P428_R3_SD_soil_S158	16S_515_926	LRBM9
C_16S_5_P105_R1_SD_soil_S141	16S_515_926	LRBM9
C_16S_5_P105_R2_SD_soil_S153	16S_515_926	LRBM9
C_16S_5_P105_R3_SD_soil_S165	16S_515_926	LRBM9
C_16S_5_P117_R1_SI_soil_S147	16S_515_926	LRBM9
C_16S_5_P117_R2_SI_soil_S159	16S_515_926	LRBM9
C_16S_5_P117_R3_SI_soil_S171	16S_515_926	LRBM9
C_16S_5_P203_R1_SI_soil_S160	16S_515_926	LRBM9
C_16S_5_P203_R2_SI_soil_S172	16S_515_926	LRBM9
C_16S_5_P203_R3_SI_soil_S184	16S_515_926	LRBM9
C_16S_5_P220_R1_SD_soil_S131	16S_515_926	LRBM9
C_16S_5_P220_R2_SD_soil_S143	16S_515_926	LRBM9
C_16S_5_P220_R3_SD_soil_S155	16S_515_926	LRBM9
C_16S_5_P322_R1_SD_soil_S144	16S_515_926	LRBM9
C_16S_5_P322_R2_SD_soil_S156	16S_515_926	LRBM9
C_16S_5_P322_R3_SD_soil_S168	16S_515_926	LRBM9
C_16S_5_P348_R1_SI_soil_S127	16S_515_926	LRBM9
C_16S_5_P348_R2_SI_soil_S139	16S_515_926	LRBM9
C_16S_5_P348_R3_SI_soil_S151	16S_515_926	LRBM9
C_16S_5_P439_R1_SD_soil_S170	16S_515_926	LRBM9
C_16S_5_P439_R2_SD_soil_S182	16S_515_926	LRBM9
C_16S_5_P439_R3_SD_soil_S194	16S_515_926	LRBM9
C_16S_5_P440_R1_SI_soil_S176	16S_515_926	LRBM9
C_16S_5_P440_R2_SI_soil_S188	16S_515_926	LRBM9
C_16S_5_P440_R3_SI_soil_S200	16S_515_926	LRBM9
HO10969_S11	16S_515_926	LRBM9
HO10970_S23	16S_515_926	LRBM9
HO10971_S35	16S_515_926	LRBM9
HO10972_S47	16S_515_926	LRBM9
HO10973_S59	16S_515_926	LRBM9
HO10974_S71	16S_515_926	LRBM9
HO10975_S83	16S_515_926	LRBM9
HO10976_S95	16S_515_926	LRBM9
HO11186_S58	16S_515_926	LRBM9
HO11862_S13	16S_515_926	LRBM9
HO12149_S101	16S_515_926	LRBM9
HO12275_S91	16S_515_926	LRBM9
HO12329_A_S46	16S_515_926	LRBM9
HO12329_B_S102	16S_515_926	LRBM9
HO12330_S100	16S_515_926	LRBM9
HO12340_S55	16S_515_926	LRBM9
HO12343_S70	16S_515_926	LRBM9
HO12378_S9	16S_515_926	LRBM9
HO12438_S25	16S_515_926	LRBM9
HO12499_S69	16S_515_926	LRBM9
HO12527_S19	16S_515_926	LRBM9
HO12546_S8	16S_515_926	LRBM9
HO12547_S20	16S_515_926	LRBM9
HO12548_S32	16S_515_926	LRBM9
HO12549_S44	16S_515_926	LRBM9
HO12550_S56	16S_515_926	LRBM9
HO12551_S68	16S_515_926	LRBM9
HO12552_S80	16S_515_926	LRBM9
HO12553_S92	16S_515_926	LRBM9
HO12561_S98	16S_515_926	LRBM9
HO12593_S5	16S_515_926	LRBM9
HO12620_S94	16S_515_926	LRBM9
HO12654_S82	16S_515_926	LRBM9
HO12670_S37	16S_515_926	LRBM9
HO12671_S21	16S_515_926	LRBM9
HO12711_S30	16S_515_926	LRBM9
HO12719_S97	16S_515_926	LRBM9
HO12747_S79	16S_515_926	LRBM9
HO12757_S45	16S_515_926	LRBM9
HO12804_S84	16S_515_926	LRBM9
HO12805_S28	16S_515_926	LRBM9
HO12839_S90	16S_515_926	LRBM9
HO12855_S81	16S_515_926	LRBM9
HO12866_S33	16S_515_926	LRBM9
HO12867_S49	16S_515_926	LRBM9
HO12868_S66	16S_515_926	LRBM9
HO12885_S61	16S_515_926	LRBM9
HO12892_S73	16S_515_926	LRBM9
HO12894_S85	16S_515_926	LRBM9
HO12906_S52	16S_515_926	LRBM9
HO12909_S17	16S_515_926	LRBM9
HO12914_S77	16S_515_926	LRBM9
HO12921_S16	16S_515_926	LRBM9
HO12925_S2	16S_515_926	LRBM9
HO12933_S24	16S_515_926	LRBM9
HO12941_S18	16S_515_926	LRBM9
HO12944_S14	16S_515_926	LRBM9
HO12945_S26	16S_515_926	LRBM9
HO12951_S6	16S_515_926	LRBM9
HO12962_S38	16S_515_926	LRBM9
HO12973_S50	16S_515_926	LRBM9
HO12976_S62	16S_515_926	LRBM9
HO12977_S41	16S_515_926	LRBM9
HO12992_S89	16S_515_926	LRBM9
HO12994_S74	16S_515_926	LRBM9
HO12997_S86	16S_515_926	LRBM9
HO13000_S3	16S_515_926	LRBM9
HO13001_S15	16S_515_926	LRBM9
HO13002_S27	16S_515_926	LRBM9
HO13003_S39	16S_515_926	LRBM9
HO13004_S51	16S_515_926	LRBM9
HO13005_S63	16S_515_926	LRBM9
HO13006_S75	16S_515_926	LRBM9
HO13007_S87	16S_515_926	LRBM9
HO13008_S67	16S_515_926	LRBM9
HO13021_S78	16S_515_926	LRBM9
HO13022_S42	16S_515_926	LRBM9
HO13038_S43	16S_515_926	LRBM9
HO13052_S31	16S_515_926	LRBM9
HO13054_S29	16S_515_926	LRBM9
HO13063_S54	16S_515_926	LRBM9
HO13064_S76	16S_515_926	LRBM9
HO13067_S99	16S_515_926	LRBM9
HO13162_S40	16S_515_926	LRBM9
HP40320_S60	16S_515_926	LRBM9
JE01470_S88	16S_515_926	LRBM9
JE01471_S34	16S_515_926	LRBM9
JE01497_S48	16S_515_926	LRBM9
JE01504_S53	16S_515_926	LRBM9
JE01508_S22	16S_515_926	LRBM9
JE01509_S36	16S_515_926	LRBM9
JE01510_S65	16S_515_926	LRBM9
JE01529_S10	16S_515_926	LRBM9
JE01532_S57	16S_515_926	LRBM9
JE10062_S93	16S_515_926	LRBM9
KB00308_S4	16S_515_926	LRBM9
NTC_SOIL16S_S104	16S_515_926	LRBM9
SM30358_S12	16S_515_926	LRBM9
Undetermined_S0	16S_515_926	LRBM9
